,location,total_sqft,bath,price,bhk
105,BTM Layout,1196.0,2.0,56.81,2
106,Balagere,645.0,1.0,34.18,1
107,Balagere,656.0,1.0,34.77,1
108,Banashankari,2600.0,4.0,135.0,3
109,Banashankari,1400.0,2.0,78.0,3
110,Banashankari,1460.0,2.0,70.0,2
111,Banashankari,1200.0,2.0,60.0,2
112,Banashankari,1000.0,2.0,50.0,2
113,Banashankari,1650.0,3.0,90.75,3
114,Banashankari,1540.0,3.0,80.0,3
115,Banashankari,1750.0,2.0,89.0,3
116,Banashankari Stage III,1145.0,2.0,58.4,2
117,Banashankari Stage III,1350.0,2.0,68.0,3
118,Banashankari Stage III,1480.0,3.0,75.48,3
119,Banashankari Stage III,3000.0,6.0,150.0,6
120,Banashankari Stage III,1085.0,2.0,50.0,2
121,Banashankari Stage VI,1180.0,2.0,59.47,2
122,Banashankari Stage VI,1423.0,2.0,71.73,3
123,Banaswadi,1145.0,2.0,55.0,2
124,Banaswadi,1250.0,2.0,60.0,2
125,Banaswadi,1200.0,2.0,60.0,2
126,Bannerghatta Road,1170.0,2.0,66.0,3
128,Bannerghatta Road,595.0,1.0,31.83,1
129,Bannerghatta Road,1255.0,2.0,65.26,2
130,Bannerghatta Road,1550.0,3.0,78.0,3
131,Bannerghatta Road,1550.0,3.0,82.0,3
133,Bannerghatta Road,1893.0,3.0,100.0,3
134,Bannerghatta Road,1275.0,2.0,65.0,2
135,Bannerghatta Road,1880.0,3.0,95.0,3
136,Bannerghatta Road,1788.0,3.0,90.0,3
138,Bannerghatta Road,1486.0,3.0,83.22,3
139,Bannerghatta Road,1460.0,2.0,75.0,3
140,Bannerghatta Road,1015.0,2.0,48.0,2
141,Bannerghatta Road,1200.0,2.0,69.0,3
142,Bannerghatta Road,1465.0,2.0,76.0,3
143,Bannerghatta Road,1240.0,2.0,65.0,2
144,Bannerghatta Road,1693.0,3.0,89.0,3
145,Bannerghatta Road,1280.0,2.0,60.16,2
146,Bannerghatta Road,630.0,1.0,35.0,1
147,Bannerghatta Road,1365.0,3.0,76.18,3
148,Bannerghatta Road,1655.0,3.0,90.0,3
149,Bannerghatta Road,1650.0,3.0,94.0,3
150,Bannerghatta Road,1000.0,2.0,50.0,2
152,Bannerghatta Road,1460.0,2.0,80.0,3
153,Bannerghatta Road,1520.0,2.0,81.0,3
154,Bannerghatta Road,2826.0,3.0,148.0,3
155,Bannerghatta Road,1660.0,3.0,85.0,3
156,Bannerghatta Road,1880.0,3.0,96.5,3
157,Bannerghatta Road,1453.0,2.0,73.0,3
158,Bannerghatta Road,1450.0,2.0,78.0,3
160,Bannerghatta Road,1465.0,2.0,75.0,3
162,Bannerghatta Road,1520.0,2.0,80.0,3
163,Bannerghatta Road,1270.0,2.0,73.0,3
164,Bannerghatta Road,1655.0,3.0,95.0,3
165,Bannerghatta Road,1150.0,2.0,55.0,2
166,Bannerghatta Road,1470.0,2.0,85.0,3
167,Battarahalli,1779.0,3.0,89.61,3
168,Battarahalli,1945.0,3.0,97.42,3
169,Battarahalli,1880.0,3.0,94.36,3
170,Battarahalli,1636.0,2.0,82.89,2
171,Battarahalli,1779.0,3.0,90.0,3
172,Battarahalli,2082.0,3.0,104.0,3
173,Battarahalli,2024.0,3.0,103.0,3
174,Begur,1475.0,2.0,74.0,3
175,Begur,1100.0,2.0,55.0,2
176,Begur,1306.0,2.0,65.0,2
177,Begur,1304.0,3.0,65.0,3
178,Begur,815.0,2.0,40.0,2
179,Bellandur,1767.0,3.0,103.0,3
180,Bellandur,1000.0,2.0,50.0,2
182,Bellandur,1605.0,3.0,85.0,3
183,Bellandur,1692.0,3.0,88.0,3
184,Bellandur,1220.0,2.0,60.0,2
185,Bellandur,1685.0,3.0,100.0,3
186,Bellandur,1205.0,2.0,59.0,2
187,Bellandur,1201.0,2.0,59.99,2
188,Bellandur,1325.0,2.0,65.0,2
190,Bellandur,1685.0,3.0,101.0,3
191,Bellandur,1735.0,3.0,105.0,3
192,Bellandur,1049.0,2.0,51.0,2
193,Bellandur,1211.0,2.0,63.0,2
194,Bellandur,1200.0,2.0,62.0,2
195,Bellandur,1767.0,3.0,89.0,3
197,Bellandur,1665.0,3.0,85.0,3
198,Bellandur,960.0,2.0,48.0,2
199,Bellandur,1830.0,3.0,91.86,3
201,Bellandur,1535.0,3.0,90.0,3
202,Bharathi Nagar,1322.0,2.0,68.0,2
203,Bharathi Nagar,1351.0,2.0,70.0,2
204,Bharathi Nagar,1328.0,2.0,69.0,2
205,Bhoganhalli,1670.0,3.0,99.0,3
207,Bhoganhalli,1444.0,2.0,75.97,2
208,Bhoganhalli,1447.0,2.0,75.97,2
209,Bhoganhalli,1447.0,2.0,75.97,2
211,Bhoganhalli,1447.0,2.0,75.97,2
212,Bhoganhalli,1447.0,2.0,75.97,2
214,Bhoganhalli,1458.0,3.0,78.45,3
215,Bhoganhalli,1444.0,2.0,75.97,2
216,Bhoganhalli,1447.0,2.0,75.97,2
219,Billekahalli,1650.0,3.0,88.0,3
220,Bisuvanahalli,700.0,1.0,32.0,2
221,Bommanahalli,3000.0,8.0,140.0,8
222,Bommanahalli,515.0,1.0,25.0,1
223,Bommanahalli,1850.0,3.0,90.0,3
224,Bommanahalli,910.0,2.0,45.0,2
225,Bommanahalli,1100.0,1.0,55.0,2
226,Brookefield,2169.0,4.0,115.0,3
227,Brookefield,1595.0,3.0,88.0,3
228,Brookefield,941.0,2.0,48.0,2
229,Brookefield,1100.0,2.0,55.0,2
230,Brookefield,1130.0,2.0,56.0,2
231,Brookefield,1518.0,3.0,80.0,3
232,Budigere,1162.0,2.0,59.9,2
233,Budigere,1991.0,4.0,103.0,3
234,Budigere,1153.0,2.0,57.0,2
235,Budigere,1139.0,2.0,56.8,2
236,Budigere,1139.0,2.0,56.85,2
238,Budigere,1820.0,3.0,93.0,3
239,Budigere,1636.0,3.0,85.0,3
240,Budigere,1820.0,3.0,93.0,3
241,Budigere,1162.0,2.0,58.0,2
242,Budigere,1636.0,3.0,85.0,3
243,Budigere,1087.0,2.0,54.3,2
244,Budigere,1153.0,2.0,56.7,2
245,Budigere,1139.0,2.0,56.5,2
246,Budigere,1636.0,3.0,83.0,3
247,Budigere,664.0,1.0,34.0,1
248,Budigere,1162.0,2.0,58.0,2
249,Budigere,1153.0,2.0,60.0,2
250,Budigere,1820.0,3.0,95.0,3
252,Budigere,1820.0,3.0,95.5,3
253,Budigere,1153.0,2.0,58.0,2
254,Budigere,1153.0,2.0,60.0,2
255,CV Raman Nagar,1120.0,2.0,55.0,2
256,CV Raman Nagar,1070.0,2.0,55.0,2
257,CV Raman Nagar,740.0,2.0,37.0,2
258,CV Raman Nagar,1028.0,2.0,49.0,2
259,CV Raman Nagar,1025.0,2.0,50.0,2
260,CV Raman Nagar,1198.0,2.0,60.0,2
261,CV Raman Nagar,1590.0,2.0,85.0,3
262,CV Raman Nagar,1100.0,2.0,58.0,2
263,CV Raman Nagar,1285.0,2.0,65.0,2
264,CV Raman Nagar,1040.0,2.0,50.0,2
265,CV Raman Nagar,1310.0,2.0,62.0,2
266,Channasandra,1160.0,2.0,55.0,2
267,Channasandra,808.0,2.0,40.0,2
268,Chikkalasandra,1100.0,2.0,50.0,2
269,Chikkalasandra,1070.0,2.0,50.0,2
270,Chikkalasandra,1075.0,2.0,46.76,2
271,Chikkalasandra,1100.0,2.0,50.0,2
272,Chikkalasandra,1090.0,2.0,47.42,2
273,Chikkalasandra,1325.0,2.0,59.0,2
274,Choodasandra,1115.0,2.0,50.0,2
275,Choodasandra,1530.0,3.0,77.0,3
276,Choodasandra,1115.0,2.0,50.0,2
277,Choodasandra,1215.0,2.0,59.0,2
278,Choodasandra,725.0,2.0,36.0,2
279,Choodasandra,1560.0,3.0,78.0,3
280,Choodasandra,1115.0,2.0,50.0,2
281,Choodasandra,1115.0,2.0,50.0,2
282,Dasanapura,708.0,2.0,37.0,2
283,Dasanapura,814.0,2.0,42.0,2
284,Dasanapura,1286.0,2.0,68.0,3
285,Dasarahalli,1295.0,2.0,65.0,2
286,Dasarahalli,1520.0,2.0,75.0,3
287,Dasarahalli,1220.0,2.0,62.0,2
288,Devanahalli,1360.0,2.0,65.0,2
289,Devanahalli,1010.0,2.0,51.0,2
290,Devanahalli,1080.0,2.0,53.35,2
291,Devanahalli,1174.0,2.0,59.0,2
292,Devanahalli,658.0,1.0,34.0,1
293,Devanahalli,1080.0,2.0,52.0,2
294,Devanahalli,775.0,1.0,39.0,1
295,Devanahalli,1020.0,2.0,49.87,1
296,Devanahalli,1340.0,2.0,65.0,2
297,Devanahalli,2125.0,3.0,107.0,3
298,Devarachikkanahalli,1230.0,2.0,58.0,2
299,Devarachikkanahalli,947.0,2.0,43.0,2
300,Devarachikkanahalli,1230.0,2.0,58.0,2
301,Dodda Nekkundi,1260.0,2.0,55.0,2
302,Dodda Nekkundi,1390.0,2.0,60.0,2
303,Dodda Nekkundi,1080.0,2.0,50.0,2
304,Dodda Nekkundi,1100.0,2.0,48.0,2
305,Dodda Nekkundi,1148.0,2.0,56.0,2
306,Dodda Nekkundi,1135.0,2.0,58.0,2
307,Dodda Nekkundi,1370.0,2.0,60.0,2
308,Dodda Nekkundi,1585.0,2.0,79.0,3
309,Dodda Nekkundi,1005.0,2.0,45.0,2
310,Doddathoguru,1105.0,2.0,50.0,2
311,Doddathoguru,1100.0,2.0,50.0,2
312,Domlur,1429.0,3.0,86.0,3
315,Electronic City,1800.0,3.0,95.0,3
316,Electronic City,1070.0,2.0,55.0,2
317,Electronic City,1360.0,2.0,71.0,3
318,Electronic City,1070.0,2.0,56.1,2
319,Electronic City,890.0,2.0,45.0,2
322,Electronic City,770.0,1.0,40.0,2
323,Electronic City,1070.0,2.0,54.0,2
324,Electronic City,1374.0,2.0,72.0,3
325,Electronic City,700.0,1.0,35.0,1
326,Electronic City,1360.0,2.0,70.5,3
328,Electronic City,1070.0,2.0,55.0,2
329,Electronic City,1025.0,2.0,54.1,2
330,Electronic City,1500.0,2.0,78.0,3
332,Electronic City,1125.0,2.0,58.0,2
333,Electronic City,1500.0,2.0,78.25,3
338,Electronic City,1500.0,2.0,78.0,3
339,Electronic City,1296.0,2.0,65.0,2
340,Electronic City,1025.0,2.0,53.9,2
341,Electronic City,435.0,1.0,21.0,1
342,Electronic City,1500.0,2.0,77.5,3
345,Electronic City,435.0,1.0,22.0,1
347,Electronic City,770.0,1.0,39.9,2
349,Electronic City,1571.0,3.0,83.0,3
353,Electronic City,630.0,1.0,33.7,1
354,Electronic City,550.0,1.0,27.0,1
356,Electronic City,1070.0,2.0,55.0,2
359,Electronic City,1060.0,2.0,55.0,2
362,Electronic City,1060.0,2.0,55.0,2
363,Electronic City,1700.0,3.0,90.0,3
364,Electronic City,750.0,1.0,35.0,1
367,Electronic City,589.0,1.0,29.0,1
368,Electronic City,1025.0,2.0,54.0,2
370,Electronic City Phase II,775.0,2.0,38.0,2
371,Electronic City Phase II,1219.0,2.0,61.25,2
372,Electronic City Phase II,769.0,2.0,40.0,2
374,Electronic City Phase II,1253.0,2.0,65.8,2
375,Electronic City Phase II,1031.0,2.0,53.0,2
376,Electronic City Phase II,1549.0,3.0,80.0,3
377,Electronic City Phase II,1065.0,2.0,56.13,2
378,Electronic City Phase II,1219.0,2.0,61.26,2
379,Electronic City Phase II,1252.0,2.0,65.0,3
380,Electronic City Phase II,1155.0,2.0,57.0,2
382,Electronic City Phase II,1252.0,2.0,65.0,3
384,Electronic City Phase II,1031.0,2.0,54.48,2
385,Electronics City Phase 1,1113.27,2.0,53.0,2
387,Electronics City Phase 1,1175.0,2.0,57.0,2
388,Electronics City Phase 1,940.0,2.0,49.0,2
389,Electronics City Phase 1,1335.0,2.0,67.0,2
390,Electronics City Phase 1,1113.12,2.0,55.0,2
391,Electronics City Phase 1,1350.0,3.0,71.0,3
392,Electronics City Phase 1,995.0,2.0,49.8,2
393,Electronics City Phase 1,1450.0,3.0,72.54,3
394,Electronics City Phase 1,638.0,1.0,32.0,1
395,Electronics City Phase 1,1200.0,2.0,59.76,2
396,Electronics City Phase 1,1145.0,2.0,54.0,2
398,Electronics City Phase 1,1800.0,3.0,93.0,3
399,Electronics City Phase 1,940.0,2.0,48.0,2
400,Electronics City Phase 1,1300.0,2.0,67.0,2
401,Electronics City Phase 1,1028.0,2.0,51.0,2
402,Electronics City Phase 1,1205.0,2.0,60.0,2
403,Electronics City Phase 1,1305.0,2.0,67.0,2
404,Electronics City Phase 1,1175.0,2.0,60.0,2
405,GM Palaya,1315.0,2.0,65.0,3
406,GM Palaya,1315.0,3.0,65.0,3
407,Garudachar Palya,1060.0,2.0,48.7,2
408,Garudachar Palya,1150.0,2.0,52.75,2
409,Garudachar Palya,1150.0,2.0,52.8,2
410,Garudachar Palya,1150.0,2.0,52.8,2
411,Garudachar Palya,1060.0,2.0,48.5,2
412,Garudachar Palya,1150.0,2.0,52.5,2
413,Garudachar Palya,1060.0,2.0,48.66,2
414,Gottigere,967.0,2.0,45.0,2
415,Gottigere,1300.0,3.0,65.0,3
416,Gottigere,945.0,2.0,45.0,2
417,Gottigere,1280.0,2.0,61.0,2
418,Gottigere,1205.0,2.0,56.58,2
419,Gottigere,1245.0,2.0,59.0,2
420,Green Glen Layout,1776.42,3.0,105.0,3
421,Green Glen Layout,1752.0,3.0,105.0,3
422,Green Glen Layout,3270.0,4.0,205.0,4
423,Green Glen Layout,1750.0,3.0,105.0,3
424,Gubbalala,1470.0,2.0,82.0,3
425,Gubbalala,2570.0,4.0,141.0,5
426,Gubbalala,1435.0,2.0,80.0,3
427,Gunjur,1356.0,2.0,66.0,3
428,Gunjur,1071.0,2.0,51.0,2
429,HBR Layout,1200.0,2.0,60.0,2
430,HBR Layout,1656.0,3.0,90.0,3
431,HSR Layout,1372.0,2.0,68.0,2
432,HSR Layout,1475.0,3.0,75.0,3
433,HSR Layout,1185.0,2.0,60.0,2
434,HSR Layout,1844.0,3.0,95.0,3
435,HSR Layout,1203.0,2.0,60.0,2
436,HSR Layout,1844.0,3.0,89.0,3
437,HSR Layout,1203.0,2.0,60.0,2
438,Haralur Road,1810.0,3.0,100.0,3
439,Haralur Road,1920.0,3.0,115.0,3
440,Haralur Road,1875.0,3.0,110.0,3
441,Haralur Road,1875.0,3.0,110.0,3
442,Haralur Road,2475.0,4.0,130.0,3
443,Haralur Road,1850.0,3.0,110.0,3
444,Haralur Road,1444.0,2.0,80.0,3
445,Haralur Road,1830.0,3.0,101.0,3
446,Haralur Road,2017.0,3.0,105.0,3
447,Haralur Road,1520.0,2.0,90.0,3
448,Haralur Road,1245.0,2.0,62.0,2
449,Haralur Road,1140.0,2.0,58.0,2
450,Haralur Road,1560.0,3.0,90.0,3
451,Haralur Road,1520.0,2.0,85.0,3
452,Haralur Road,1650.0,3.0,100.0,3
453,Haralur Road,1510.0,3.0,83.05,3
454,Haralur Road,1810.0,3.0,100.0,3
455,Haralur Road,1710.0,3.0,85.0,3
456,Haralur Road,1730.0,3.0,95.0,3
457,Haralur Road,1817.0,3.0,110.0,3
458,Haralur Road,1735.0,3.0,97.0,3
459,Haralur Road,1810.0,3.0,97.83,3
460,Harlur,1508.0,2.0,77.0,2
461,Harlur,2450.0,3.0,120.0,3
462,Harlur,1460.0,3.0,73.0,3
463,Harlur,1033.0,2.0,49.0,2
464,Harlur,1884.0,4.0,120.0,4
465,Harlur,1730.0,3.0,100.0,3
466,Harlur,2138.0,3.0,110.0,3
467,Harlur,1414.0,3.0,77.5,3
468,Harlur,1630.0,3.0,95.1,3
469,Harlur,1133.0,2.0,55.0,2
470,Harlur,1710.0,3.0,85.0,3
471,Harlur,1710.0,3.0,85.0,3
472,Harlur,2137.0,3.0,110.0,3
473,Harlur,936.0,2.0,45.0,2
474,Hebbal,7145.0,4.0,477.0,4
475,Hebbal,1080.0,2.0,54.0,2
476,Hebbal,1100.0,2.0,54.0,2
477,Hebbal,1586.0,3.0,90.0,3
478,Hebbal,3894.0,2.0,226.5,3
479,Hebbal,1269.0,2.0,73.0,3
480,Hebbal,1200.0,2.0,60.0,2
481,Hebbal,1860.0,3.0,95.0,3
482,Hebbal,1110.0,3.0,59.0,3
483,Hebbal,1040.0,2.0,55.0,2
485,Hebbal,1590.0,3.0,96.0,3
486,Hebbal,1162.0,2.0,59.0,2
487,Hebbal,1150.0,2.0,57.0,2
488,Hebbal,1430.0,3.0,85.0,3
489,Hegde Nagar,1168.0,2.0,68.0,3
490,Hegde Nagar,2162.03,4.0,129.0,3
491,Hegde Nagar,1348.0,2.0,80.5,3
492,Hennur,1075.0,2.0,52.0,2
493,Hennur,1225.0,2.0,57.0,2
494,Hennur,1255.0,2.0,57.5,2
495,Hennur,1259.0,2.0,57.0,2
496,Hennur,1285.0,2.0,60.0,2
497,Hennur,1285.0,2.0,60.0,2
498,Hennur,1255.0,2.0,58.0,2
499,Hennur,1255.0,2.0,55.5,2
500,Hennur,1255.0,2.0,55.5,2
501,Hennur,1255.0,2.0,57.5,2
502,Hennur,960.0,2.0,48.0,2
503,Hennur,1020.0,2.0,48.0,2
504,Hennur,1295.0,2.0,64.0,2
505,Hennur,1255.0,2.0,58.0,2
506,Hennur,1155.0,2.0,54.5,2
507,Hennur,1255.0,2.0,55.5,2
508,Hennur,1255.0,2.0,56.5,2
509,Hennur,1295.0,2.0,62.0,2
510,Hennur Road,5000.0,8.0,250.0,8
511,Hennur Road,1891.0,3.0,109.0,3
512,Hennur Road,1192.0,2.0,60.0,3
513,Hennur Road,1482.0,2.0,83.73,3
514,Hennur Road,1482.0,2.0,87.0,3
515,Hennur Road,1703.0,3.0,101.0,3
516,Hennur Road,987.0,2.0,49.0,2
517,Hennur Road,1804.0,3.0,102.0,3
518,Hennur Road,1186.0,2.0,63.0,3
519,Hennur Road,1680.0,3.0,99.27,3
520,Hennur Road,1586.0,3.0,93.94,3
521,Hennur Road,1445.0,3.0,86.56,3
522,Hennur Road,1192.0,2.0,62.0,3
523,Hennur Road,1891.0,3.0,109.0,3
524,Hennur Road,1804.0,3.0,102.0,3
525,Hennur Road,1685.0,3.0,95.0,3
526,Hennur Road,2700.0,3.0,150.0,3
527,Hennur Road,1310.0,2.0,66.0,2
528,Hennur Road,1015.0,2.0,50.0,2
529,Hennur Road,1061.0,2.0,54.92,2
530,Hennur Road,1585.0,2.0,80.0,3
531,Hennur Road,1066.0,2.0,52.23,2
532,Hennur Road,2050.0,3.0,120.0,3
533,Hennur Road,1445.0,2.0,83.0,3
534,Hennur Road,1679.0,3.0,94.86,3
535,Hennur Road,1654.0,3.0,97.8,3
536,Hennur Road,1053.0,2.0,53.0,2
537,Hennur Road,1195.0,2.0,59.0,2
538,Hennur Road,1748.0,3.0,103.0,3
539,Hennur Road,1450.0,3.0,79.0,3
540,Hennur Road,973.0,2.0,50.74,2
541,Hennur Road,1482.0,2.0,83.73,3
542,Hennur Road,1305.0,2.0,77.0,3
543,Hennur Road,1672.0,3.0,86.0,3
544,Hennur Road,980.0,2.0,51.0,2
545,Hennur Road,1140.0,2.0,56.0,2
546,Hennur Road,1891.0,3.0,110.0,3
547,Hennur Road,1470.0,2.0,75.0,3
548,Hoodi,1715.0,2.0,95.0,3
549,Hoodi,1420.0,2.0,75.0,2
550,Hoodi,1606.0,3.0,89.55,3
551,Hoodi,1512.0,3.0,75.77,3
552,Hoodi,1553.0,3.0,83.09,3
553,Hoodi,1746.0,3.0,84.95,3
554,Hoodi,1925.0,3.0,110.0,3
555,Hoodi,1769.0,3.0,96.87,3
556,Hoodi,1490.0,3.0,79.0,3
557,Hoodi,1240.0,2.0,65.0,2
558,Hoodi,1370.0,3.0,67.0,3
559,Hoodi,1559.0,3.0,81.55,3
560,Hoodi,1715.0,2.0,100.0,3
561,Hoodi,1350.0,3.0,70.0,3
562,Hoodi,1447.0,3.0,76.0,2
563,Hoodi,1400.0,3.0,74.0,3
564,Hoodi,1644.0,3.0,80.51,3
565,Hoodi,1490.0,3.0,85.0,3
566,Horamavu Agara,755.0,2.0,37.49,2
567,Horamavu Agara,982.0,2.0,47.65,2
568,Horamavu Agara,1265.0,2.0,65.0,3
569,Horamavu Agara,760.0,2.0,37.49,2
570,Horamavu Agara,750.0,2.0,37.49,2
571,Horamavu Banaswadi,1180.0,2.0,58.0,2
572,Horamavu Banaswadi,1081.0,2.0,52.0,2
573,Horamavu Banaswadi,1000.0,2.0,50.0,2
574,Hormavu,1150.0,2.0,55.0,2
575,Hormavu,1725.0,3.0,85.0,3
576,Hormavu,1123.0,2.0,56.0,2
577,Hormavu,1385.0,2.0,69.0,3
578,Hormavu,1030.0,2.0,49.35,2
579,Hormavu,1018.0,2.0,50.8,2
581,Hormavu,1000.0,2.0,50.0,2
582,Hormavu,765.0,2.0,37.49,2
583,Hormavu,1250.0,2.0,60.0,2
584,Hormavu,1385.0,2.0,69.25,3
585,Hormavu,1065.0,2.0,50.92,2
586,Hormavu,1075.0,2.0,53.7,2
587,Hormavu,1075.0,2.0,53.7,2
588,Hosa Road,1652.0,3.0,85.0,3
589,Hosa Road,1639.0,3.0,80.0,3
590,Hosa Road,1161.0,2.0,55.15,2
591,Hosa Road,1161.0,2.0,55.15,2
592,Hosa Road,615.0,1.0,28.29,1
593,Hosa Road,1133.0,2.0,52.0,2
594,Hosa Road,1161.0,2.0,55.15,2
595,Hosa Road,1245.0,2.0,62.0,2
596,Hosa Road,1364.0,2.0,64.79,2
597,Hosa Road,1161.0,2.0,55.15,2
598,Hosakerehalli,1596.0,3.0,79.8,3
599,Hosakerehalli,925.0,2.0,46.25,2
600,Hosur Road,1145.0,2.0,60.0,3
601,Hosur Road,1427.0,2.0,80.63,3
602,Hosur Road,1733.0,2.0,85.0,3
603,Hosur Road,1250.0,2.0,65.0,2
604,Hosur Road,1685.0,3.0,90.0,3
605,Hulimavu,1125.0,2.0,50.0,2
606,Hulimavu,1823.0,3.0,100.0,3
607,Hulimavu,1058.0,2.0,48.0,2
608,Hulimavu,1225.0,2.0,55.0,2
609,Hulimavu,1255.0,2.0,66.0,2
610,Hulimavu,1450.0,3.0,72.0,3
611,Hulimavu,850.0,1.0,39.5,2
612,Hulimavu,1000.0,2.0,45.0,2
613,Hulimavu,581.0,1.0,29.0,1
614,Hulimavu,935.0,2.0,45.0,2
615,Hulimavu,1320.0,2.0,65.0,3
616,Hulimavu,450.0,1.0,20.0,1
617,ISRO Layout,4400.0,6.0,250.0,6
618,ISRO Layout,1310.0,2.0,68.0,3
619,ISRO Layout,1050.0,2.0,51.0,2
620,Iblur Village,3596.0,5.0,252.0,4
